id,trans_id
40000001656,40000022699
40000001686,40000023099
40000001712,40000023481
40000001713,40000023495
40000001715,40000023525
40000001722,40000023647
40000001729,40000023751
40000001734,40000023803
40000001744,40000023987
40000001745,40000023992
40000001759,40000024151
40000001761,40000024160
40000001800,40000024650
40000001803,40000024731
40000001833,40000025228
40000001835,40000025241
40000001847,40000025365
40000001863,40000025519
40000001920,40000026026
40000001945,40000026343
40000002037,40000027125
40000002051,40000027333
40000002065,40000027481
40000002083,40000027557
40000002090,40000027621
40000002143,40000027878
40000002151,40000027890
40000002165,40000027952
40000002169,40000027978
40000002199,40000029180
40000002213,40000029280
40000002215,40000029296
40000002225,40000029390
40000002237,40000029523
40000002255,40000029696
40000002271,40000029837
40000002272,40000029856
40000002284,40000029963
40000002288,40000029967
40000002305,40000030130
40000002322,40000030276
40000002334,40000030303
40000002359,40000030617
40000002371,40000030814
40000002381,40000030941
40000002385,40000030960
40000002386,40000030961
40000002412,40000031205
40000002493,40000032309
40000002494,40000032829
40000002495,40000032830
40000002496,40000032831
